"E01.01.30.10";"\RSen_10_Model families\Electrical Equipment\RSen_61_EE_FB_hv-cell_gen_witas.rfa";"RSen_61_EE_FB_hv-cell_gen_witas.rfa";"E01.01.30.10__KxN__hv cabin_gen__";"KxN";"False";"AANSLUITING :: Hoogspanning :: Hoogspanningsmateriaal type AA20 / AA15 / AA35 :: Lusschakelaar";"RACCORDEMENT :: Haute tension ::  :: Interrupteur de boucle"
"E01.01.30.20";"\RSen_10_Model families\Electrical Equipment\RSen_61_EE_FB_hv-cell_gen_witas.rfa";"RSen_61_EE_FB_hv-cell_gen_witas.rfa";"E01.01.30.20__TxN__hv cabin_gen__";"TxN";"False";"AANSLUITING :: Hoogspanning :: Hoogspanningsmateriaal type AA20 / AA15 / AA35 :: Transformatorbeveiliging met gecombineerde lastschakelaar met smeltveiligheden";"RACCORDEMENT :: Haute tension ::  :: Protection de transformateur avec interrupteur-sectionneur et fusibles"
"E01.01.30.30";"\RSen_10_Model families\Electrical Equipment\RSen_61_EE_FB_hv-cell_gen_witas.rfa";"RSen_61_EE_FB_hv-cell_gen_witas.rfa";"E01.01.30.30__MDxN__hv cabin_gen__";"MDxN";"False";"AANSLUITING :: Hoogspanning :: Hoogspanningsmateriaal type AA20 / AA15 / AA35 :: Hoofd/Lijnbeveiliging met vermogenschakelaars";"RACCORDEMENT :: Haute tension ::  :: Protection de tête/ligne avec disjoncteurs"
"E01.01.30.31";"\RSen_10_Model families\Electrical Equipment\RSen_61_EE_FB_hv-cell_gen_witas.rfa";"RSen_61_EE_FB_hv-cell_gen_witas.rfa";"E01.01.30.31__DxN__hv cabin_gen__";"DxN";"False";"AANSLUITING :: Hoogspanning :: Hoogspanningsmateriaal type AA20 / AA15 / AA35 :: Transformatorbeveiliging met vermogenschakelaars";"RACCORDEMENT :: Haute tension ::  :: Protection de transformateur avec disjoncteurs"
"E01.01.30.40";"\RSen_10_Model families\Electrical Equipment\RSen_61_EE_FB_hv-cell_gen_witas.rfa";"RSen_61_EE_FB_hv-cell_gen_witas.rfa";"E01.01.30.40__Mx__hv cabin_gen__";"Mx";"False";"AANSLUITING :: Hoogspanning :: Hoogspanningsmateriaal type AA20 / AA15 / AA35 :: HS-meetcel";"RACCORDEMENT :: Haute tension ::  :: Cellule de comptage HT"
"E01.01.30.45";"\RSen_10_Model families\Electrical Equipment\RSen_61_EE_FB_meter_gen_witas.rfa";"RSen_61_EE_FB_meter_gen_witas.rfa";"E01.01.30.45__HV__meter cabin_gen__";"HV";"False";"AANSLUITING :: Hoogspanning :: Hoogspanningsmateriaal type AA20 / AA15 / AA35 :: LS-meting";"RACCORDEMENT :: Haute tension ::  :: Comptage BT"
"E01.01.70";"\RSen_10_Model families\Electrical Equipment\RSen_61_EE_FB_distribution transformer_gen_witas.rfa";"RSen_61_EE_FB_distribution transformer_gen_witas.rfa";"E01.01.70__MTR__distribution transformer_gen__";"MTR";"False";"AANSLUITING :: Hoogspanning :: Olietransformator met minerale olie";"RACCORDEMENT :: Haute tension :: Transformateur à l'huile minérale"
"E01.01.72";"\RSen_10_Model families\Electrical Equipment\RSen_61_EE_FB_distribution transformer_gen_witas.rfa";"RSen_61_EE_FB_distribution transformer_gen_witas.rfa";"E01.01.72__VTR__distribution transformer_gen__";"VTR";"False";"AANSLUITING :: Hoogspanning :: Olietransformator met plantaardige olie";"RACCORDEMENT :: Haute tension :: Transformateur à l'huile végétale"
"E01.01.78";"\RSen_10_Model families\Electrical Equipment\RSen_61_EE_FB_distribution transformer_gen_witas.rfa";"RSen_61_EE_FB_distribution transformer_gen_witas.rfa";"E01.01.78__DTR__distribution transformer_gen__";"DTR";"False";"AANSLUITING :: Hoogspanning :: Droge giethars transformator";"RACCORDEMENT :: Haute tension :: Transformateur sec à résine"
"E01.02.02";"\RSen_10_Model families\Electrical Equipment\RSen_61_EE_FB_meter_gen_witas.rfa";"RSen_61_EE_FB_meter_gen_witas.rfa";"E01.02.02__LV__meter cabin_gen__";"LV";"True";"AANSLUITING :: Laagspanning :: Tellerkasten";"RACCORDEMENT :: Basse tension :: Armoires à compteurs"
"E01.03.01.10";"\RSen_10_Model families\Electrical Equipment\RSen_61_EE_FB_meter_gen_witas.rfa";"RSen_61_EE_FB_meter_gen_witas.rfa";"E01.03.01.10__EX__meter cabin_gen__";"EX";"False";"AANSLUITING :: Aansluiten op bestaande installatie :: Gedeelte sterkstroom :: Aansluiten op bestaande LS-teller";"RACCORDEMENT :: Raccordement à l'installation existante :: Partie courant fort :: Raccordement au compteur BT existant"
"E01.10.01";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_emergency generator_gen_witas.rfa";"RSen_62_EE_FB_emergency generator_gen_witas.rfa";"E01.10.01__OGEN__emergency generator_gen__";"OGEN";"False";"AANSLUITING :: Noodstroomvoorzieningen :: Noodstroomaggregaat binnenopstelling - open type";"RACCORDEMENT :: Dispositions pour l'alimentation de secours :: Groupe électrogène de secours, installation intérieure - type ouverte"
"E01.10.02";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_emergency generator_gen_witas.rfa";"RSen_62_EE_FB_emergency generator_gen_witas.rfa";"E01.10.02__CGEN__emergency generator_gen__";"CGEN";"False";"AANSLUITING :: Noodstroomvoorzieningen :: Noodstroomaggregaat binnenopstelling met geluidsdempende omkasting";"RACCORDEMENT :: Dispositions pour l'alimentation de secours :: Groupe électrogène de secours pour l'installation intérieure avec habillage insonorisé"
"E01.10.05";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_emergency generator_gen_witas.rfa";"RSen_62_EE_FB_emergency generator_gen_witas.rfa";"E01.10.05__COGEN__emergency generator_gen__";"COGEN";"False";"AANSLUITING :: Noodstroomvoorzieningen :: Noodstroomaggregaat buitenopstelling met geluidsdempende weersbestendige omkasting";"RACCORDEMENT :: Dispositions pour l'alimentation de secours :: Groupe électrogène de secours pour l'installation extérieure avec habillage insonorisé résistant aux intempéries"
"E01.10.20";"\RSen_10_Model families\Mechanical Equipment\03 Storage\RSen_56_ME_FB_rectangular storage tank - 2_connectors_gen_witas.rfa";"RSen_56_ME_FB_rectangular storage tank - 2_connectors_gen_witas.rfa";"E01.10.20__EL__";"EL";"False";"AANSLUITING :: Noodstroomvoorzieningen :: Brandstof voorraadtank";"RACCORDEMENT :: Dispositions pour l'alimentation de secours :: Réservoir de carburant"
"E01.20.01";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_ups_gen_witas.rfa";"RSen_62_EE_FB_ups_gen_witas.rfa";"E01.20.01__STAT__ups_gen__";"STAT";"True";"AANSLUITING :: No-break voedingen :: Statische UPS";"RACCORDEMENT :: Alimentation sans interruption (ASI) :: ASI de type statique"
"E01.20.10";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_ups_gen_witas.rfa";"RSen_62_EE_FB_ups_gen_witas.rfa";"E01.20.10__DYN__ups_gen__";"DYN";"False";"AANSLUITING :: No-break voedingen :: Dynamische UPS";"RACCORDEMENT :: Alimentation sans interruption (ASI) :: ASI de type dynamique"
"E01.20.20.01";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_battery case_gen_witas.rfa";"RSen_62_EE_FB_battery case_gen_witas.rfa";"E01.20.20.01__UPS__battery case_gen_wxhxd 250x600x100__";"UPS";"False";"AANSLUITING :: No-break voedingen";"RACCORDEMENT :: Alimentation sans interruption (ASI)"
"E01.20.20.02";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_central battery system_gen_witas.rfa";"RSen_62_EE_FB_central battery system_gen_witas.rfa";"E01.20.20.02__UPS__central coil sytem_gen_wxhxd 800x1800x600__";"UPS";"False";"AANSLUITING :: No-break voedingen";"RACCORDEMENT :: Alimentation sans interruption (ASI)"
"E01.30.01";"\RSen_10_Model families\Electrical Devices\Electrical Fixtures\RSen_61_EF_FB_transformator_gen_witas.rfa";"RSen_61_EF_FB_transformator_gen_witas.rfa";"E01.30.01__1PH__transformator - vital_gen__";"1PH";"False";"AANSLUITING :: Laagspanningstransformator :: 1-fasige scheidingstranformator";"RACCORDEMENT :: Transformateur basse tension :: Transformateur de séparation monophasé"
"E01.30.05";"\RSen_10_Model families\Electrical Devices\Electrical Fixtures\RSen_61_EF_FB_transformator_gen_witas.rfa";"RSen_61_EF_FB_transformator_gen_witas.rfa";"E01.30.05__3PH__transformator - vital_gen__";"3PH";"True";"AANSLUITING :: Laagspanningstransformator :: 3-fasige scheidingstranformator";"RACCORDEMENT :: Transformateur basse tension :: Transformateur de séparation triphasé"
"E01.30.50";"\RSen_10_Model families\Electrical Devices\Electrical Fixtures\RSen_61_EF_FB_transformator_gen_witas.rfa";"RSen_61_EF_FB_transformator_gen_witas.rfa";"E01.30.50__LV-LV__transformator - vital_gen__";"LV-LV";"False";"AANSLUITING :: Laagspanningstransformator :: LS/LS autotransformator";"RACCORDEMENT :: Transformateur basse tension :: Autotransformateur BT/BT"
"E02.01.01.01";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_distribution panel lv - wall_gen_witas.rfa";"RSen_62_EE_FB_distribution panel lv - wall_gen_witas.rfa";"E02.01.01.01__HP__plain door_gen__";"HP";"False";"VERDEELBORDEN :: Elektrische borden met schakel- en beveiligingsapparatuur :: Kasten voor groot vermogen :: Naam Bord'";"TABLEAUX DE DISTRIBUTION :: Tableaux électriques avec appareilage de commutation et de protection :: Tableaux pour grandes puissances :: Nom du tableau"
"E02.01.01.02";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_distribution panel lv - floor_gen_witas.rfa";"RSen_62_EE_FB_distribution panel lv - floor_gen_witas.rfa";"E02.01.01.02__HP__floor cabin_gen__";"HP";"False";"VERDEELBORDEN :: Elektrische borden met schakel- en beveiligingsapparatuur :: Kasten voor groot vermogen";"TABLEAUX DE DISTRIBUTION :: Tableaux électriques avec appareilage de commutation et de protection :: Tableaux pour grandes puissances"
"E02.01.02.01";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_distribution panel lv - wall_gen_witas.rfa";"RSen_62_EE_FB_distribution panel lv - wall_gen_witas.rfa";"E02.01.02.01__LP__plain door_gen__";"LP";"True";"VERDEELBORDEN :: Elektrische borden met schakel- en beveiligingsapparatuur :: Kasten voor klein vermogen :: Naam Bord'";"TABLEAUX DE DISTRIBUTION :: Tableaux électriques avec appareilage de commutation et de protection :: Tableaux pour faibles puissances :: Nom du tableau"
"E02.01.03.01";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_distribution panel lv - wall_gen_witas.rfa";"RSen_62_EE_FB_distribution panel lv - wall_gen_witas.rfa";"E02.01.03.01__LP__transparent door_gen__";"LP";"True";"VERDEELBORDEN :: Elektrische borden met schakel- en beveiligingsapparatuur :: Kunststofkasten :: Naam Bord'";"TABLEAUX DE DISTRIBUTION :: Tableaux électriques avec appareilage de commutation et de protection :: Tableaux en matière synthétique :: Nom du tableau"
"E02.01.50";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_distribution panel lv - wall_gen_witas.rfa";"RSen_62_EE_FB_distribution panel lv - wall_gen_witas.rfa";"E02.01.50__CASCO__transparent door_gen__";"CASCO";"False";"VERDEELBORDEN :: Elektrische borden met schakel- en beveiligingsapparatuur :: Tijdelijk aansluitbordje casco entiteit";"TABLEAUX DE DISTRIBUTION :: Tableaux électriques avec appareilage de commutation et de protection :: Tableau de raccordment temporaire pour entité casco"
"E02.10.10.01";"\RSen_10_Model families\Electrical Equipment\RSen_61_EE_FB_condensator battery_gen_witas.rfa";"RSen_61_EE_FB_condensator battery_gen_witas.rfa";"E02.10.10.01__max100kVAr__condensator coil_gen__";"max100kVAr";"False";"VERDEELBORDEN :: Energiemeting, -bewaking, en -kwaliteit :: Compensatie reactieve energie :: Automatische condensatorbatterij <=100 kVAr";"TABLEAUX DE DISTRIBUTION :: Mesur, surveillance et qualité d'énergie :: Compensation d'énergie réactive :: Batterie à condensateurs automatique <= 100 kVAr"
"E02.10.10.02";"\RSen_10_Model families\Electrical Equipment\RSen_61_EE_FB_condensator battery_gen_witas.rfa";"RSen_61_EE_FB_condensator battery_gen_witas.rfa";"E02.10.10.02__min100kVAr__condensator coil_gen__";"min100kVAr";"False";"VERDEELBORDEN :: Energiemeting, -bewaking, en -kwaliteit :: Compensatie reactieve energie :: Automatische condensatorbatterij >100 kVAr";"TABLEAUX DE DISTRIBUTION :: Mesur, surveillance et qualité d'énergie :: Compensation d'énergie réactive :: Batterie à condensateurs automatique > 100 kVAr"
"E02.20.01";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_distribution panel lv - floor_gen_witas.rfa";"RSen_62_EE_FB_distribution panel lv - floor_gen_witas.rfa";"E02.20.01__MOB__floor cabin_gen__";"MOB";"False";"VERDEELBORDEN :: Speciale elektrische borden :: Mobiel verdeelbord";"TABLEAUX DE DISTRIBUTION :: Tableaux électriques spéciaux :: Tableau de distribution mobile"
"E02.20.10";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_distribution panel lv - floor_gen_witas.rfa";"RSen_62_EE_FB_distribution panel lv - floor_gen_witas.rfa";"E02.20.10__O__floor cabin_gen__";"O";"False";"VERDEELBORDEN :: Speciale elektrische borden :: Kunststof voetpadkast met sokkel";"TABLEAUX DE DISTRIBUTION :: Tableaux électriques spéciaux :: Armoire de trottoir"
"E02.20.10";"\RSen_10_Model families\Electrical Equipment\RSen_62_EE_FB_distribution panel lv - floor_gen_witas.rfa";"RSen_62_EE_FB_distribution panel lv - floor_gen_witas.rfa";"E02.20.10__O__";"O";"False";"VERDEELBORDEN :: Speciale elektrische borden :: Kunststof voetpadkast met sokkel";"TABLEAUX DE DISTRIBUTION :: Tableaux électriques spéciaux :: Armoire de trottoir"
"E03.01.01";"\RSen_10_Model families\Electrical Devices\Security Devices\RSen_68_SD_FB_grounding_gen_witas.rfa";"RSen_68_SD_FB_grounding_gen_witas.rfa";"E03.01.01____ground strap_gen__";"";"False";"AARDING VAN DE INSTALLATIE :: Installatie buiten het gebouw :: Laagspanning aardingslus";"MISE À LA TERRE DE L'INSTALLATION :: Installation en dehors du bâtiment :: Boucle de terre basse tension"
"E03.01.02";"\RSen_10_Model families\Electrical Devices\Security Devices\RSen_68_SD_FB_grounding_gen_witas.rfa";"RSen_68_SD_FB_grounding_gen_witas.rfa";"E03.01.02____grounding pin_gen__";"";"True";"AARDING VAN DE INSTALLATIE :: Installatie buiten het gebouw :: Bijkomende laagspannings aardelektrode";"MISE À LA TERRE DE L'INSTALLATION :: Installation en dehors du bâtiment :: Électrode de terre basse tension additionnelle"
"E03.01.10";"\RSen_10_Model families\Electrical Devices\Security Devices\RSen_68_SD_FB_grounding rod_gen_witas.rfa";"RSen_68_SD_FB_grounding rod_gen_witas.rfa";"E03.01.10____vertical grounding electrode_gen__";"";"False";"AARDING VAN DE INSTALLATIE :: Installatie buiten het gebouw :: Hoogspanning aarding";"MISE À LA TERRE DE L'INSTALLATION :: Installation en dehors du bâtiment :: Vérification de la mise à la terre de haute tension existante"
"E03.02.01";"\RSen_10_Model families\Electrical Devices\Security Devices\RSen_68_SD_FB_grounding rail_gen_witas.rfa";"RSen_68_SD_FB_grounding rail_gen_witas.rfa";"E03.02.01__B__grounding rail_gen__";"B";"True";"AARDING VAN DE INSTALLATIE :: Installatie binnen het gebouw :: Verbinding met de aarding";"MISE À LA TERRE DE L'INSTALLATION :: Installation à l'intérieur du bâtiment :: Liaison avec la mise à la terre"
"E03.02.04";"\RSen_10_Model families\Electrical Devices\Security Devices\RSen_68_SD_FB_grounding rail_gen_witas.rfa";"RSen_68_SD_FB_grounding rail_gen_witas.rfa";"E03.02.04__PANI__grounding rail_gen__";"PANI";"False";"AARDING VAN DE INSTALLATIE :: Installatie binnen het gebouw :: PANI equipotentiaalverbindingen voor telecom ruimten en computerzalen";"MISE À LA TERRE DE L'INSTALLATION :: Installation à l'intérieur du bâtiment :: Liaisons équipotentielles pour locaux télécom et salles informatiques"
"E04.01.01";"\RSen_10_Model families\Electrical Devices\Electrical Fixtures\RSen_62_EF_FB_electrical connection_gen_witas.rfa";"RSen_62_EF_FB_electrical connection_gen_witas.rfa";"E04.01.01____1 phase - neuter - ground - supply cable_gen__";"";"True";"VOEDINGSKABELS EN ONDERGRONDSE LEIDINGEN :: Algemeen";"CÂBLES D'ALIMENTATION ET CÂBLES SOUTERRAINS :: Généralités"
"E04.01.02";"\RSen_10_Model families\Electrical Devices\Electrical Fixtures\RSen_62_EF_FB_electrical connection_gen_witas.rfa";"RSen_62_EF_FB_electrical connection_gen_witas.rfa";"E04.01.02____3 phase - ground - supply cable_gen__";"";"False";"VOEDINGSKABELS EN ONDERGRONDSE LEIDINGEN :: Algemeen";"CÂBLES D'ALIMENTATION ET CÂBLES SOUTERRAINS :: Généralités"
"E04.01.03";"\RSen_10_Model families\Electrical Devices\Electrical Fixtures\RSen_62_EF_FB_electrical connection_gen_witas.rfa";"RSen_62_EF_FB_electrical connection_gen_witas.rfa";"E04.01.03____3 phase - supply cable_gen__";"";"False";"VOEDINGSKABELS EN ONDERGRONDSE LEIDINGEN :: Algemeen";"CÂBLES D'ALIMENTATION ET CÂBLES SOUTERRAINS :: Généralités"
"E05.01.01";"\RSen_10_Model families\Electrical Devices\Electrical Fixtures\RSen_62_EF_FB_electrical connection_gen_witas.rfa";"RSen_62_EF_FB_electrical connection_gen_witas.rfa";"E05.01.01____1 phase - neuter - ground - supply cable_gen__";"";"True";"VERDEELLEIDINGEN :: Algemeenheden";"CÂBLES DE RÉPARTITION :: Généralités"
"E05.01.02";"\RSen_10_Model families\Electrical Devices\Electrical Fixtures\RSen_62_EF_FB_electrical connection_gen_witas.rfa";"RSen_62_EF_FB_electrical connection_gen_witas.rfa";"E05.01.02____3 phase - ground - supply cable_gen__";"";"False";"VERDEELLEIDINGEN :: Algemeenheden";"CÂBLES DE RÉPARTITION :: Généralités"
"E05.01.03";"\RSen_10_Model families\Electrical Devices\Electrical Fixtures\RSen_62_EF_FB_electrical connection_gen_witas.rfa";"RSen_62_EF_FB_electrical connection_gen_witas.rfa";"E05.01.03____3 phase - supply cable_gen__";"";"False";"VERDEELLEIDINGEN :: Algemeenheden";"CÂBLES DE RÉPARTITION :: Généralités"
"E06.01.01.01";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_switches - high current_gen_witas.rfa";"RSen_62_LD_FB_switches - high current_gen_witas.rfa";"E06.01.01.01__EB__push button_gen__";"EB";"True";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Enkelvoudige drukknop";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Bouton-poussoir simple"
"E06.01.01.02";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_switches - high current_gen_witas.rfa";"RSen_62_LD_FB_switches - high current_gen_witas.rfa";"E06.01.01.02__EB__push button - double_gen__";"EB";"True";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Tweevoudige drukknop";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Bouton-poussoir double"
"E06.01.01.05";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_switches - high current_gen_witas.rfa";"RSen_62_LD_FB_switches - high current_gen_witas.rfa";"E06.01.01.05__EB__push button - indicator light_gen__";"EB";"False";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Enkelvoudige drukknop met LED";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Bouton-poussoir simple à témoin"
"E06.01.01.09";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_switches - high current_gen_witas.rfa";"RSen_62_LD_FB_switches - high current_gen_witas.rfa";"E06.01.01.09__EB__single pole switch_gen__";"EB";"True";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Enkelpolige schakelaar";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Interrupteur unipolaire"
